Entry_ID,DOI
15445,Not Found
17246,Not Found
18388,Not Found
11080,Not Found
4689,Not Found
5548,Not Found
5331,Not Found
6243,Not Found
27646,Not Found
17012,Not Found
5991,Not Found
17013,Not Found
4390,Not Found
18389,Not Found
17306,Not Found
17041,Not Found
27722,10.1021/jacs.8b11099
15451,Not Found
6470,Not Found
4267,Not Found
6838,Not Found
5550,Not Found
18971,Not Found
4365,Not Found
26511,Not Found
50001,Not Found
17010,Not Found
26506,Not Found
5330,Not Found
4366,Not Found
16392,Not Found
51416,Not Found
26779,Not Found
50284,10.1021/jacsau.0c00094
50212,Not Found
5154,Not Found
27721,10.1021/jacs.8b11099
19388,Not Found
6474,Not Found
25025,Not Found
5549,Not Found
17047,Not Found
50285,10.1021/jacsau.0c00094
17226,Not Found
18758,Not Found
27011,Not Found
5841,Not Found
27888,10.1042/bj2760269
15230,Not Found
4364,Not Found
50283,10.1021/jacsau.0c00094
6577,Not Found
5153,Not Found
51413,Not Found
17046,Not Found
