BMRB_ID,Protein,Excel_Condition_Provided,TauC_Exp_ns,Spindle_Field_MHz,Spindle_Condition_Found,TauC_Pred_ns,S2_Pearson_r,Is_Isotropic,Match_Type
6470,Ubiquitin,Default/Forced,4.09,600.0,_condition_1,4.038,0.9514382462947032,True,Topology (1:1)
5331,cellular retinol-binding protein type I: halo,Default/Forced,8.5,500.0,_cond_set_1,8.887,0.8485102218513378,True,Topology (1:1)
5331,cellular retinol-binding protein type I: halo,Default/Forced,8.5,600.0,_cond_set_1,8.444,0.8725648465850736,True,Topology (1:1)
17047,Tryptophan repressor A77V mutant protein in holo-form,Default/Forced,10.15,600.0,_sample_conditions_1,10.569,0.982442341768884,True,Topology (1:1)
6838,PSE-4_mature_enzyme,isotropic,12.683,500.0,_conditions_2,12.699,0.9522065866593828,True,Topology (1:1)
6838,PSE-4_mature_enzyme,isotropic,12.683,600.0,_conditions_2,12.761,0.9505411660640732,True,Topology (1:1)
6838,PSE-4_mature_enzyme,isotropic,12.683,800.0,_conditions_2,13.127,0.9298549222100584,True,Topology (1:1)
11080,CsPin,Default/Forced,6.7,500.0,_sample_conditions_1,7.342,0.4270055608033029,True,Topology (1:1)
4365,PNU-107859,Default/Forced,10.43,600.0,_conditions,10.715,0.9612539590457444,True,Topology (1:1)
6577,C1-subdomain of IF2-C1,unknown model,9.02,600.0,_conditions_1,9.492,0.9860138671578292,False,Topology (1:1)
4364,"stromelysin, 166 residues, 306.771 kDa, PNU-99533",Default/Forced,11.77,600.0,_conditions,12.314,0.929831227611286,True,Topology (1:1)
15230,small G protein RalB,unknown model,11.75,500.0,_sample_conditions_1,11.802,0.9194423540624542,False,Topology (1:1)
51416,apo BD1,Default/Forced,7.6,600.0,_sample_conditions_1,9.727,0.9526202558743496,True,Topology (1:1)
51416,apo BD1,Default/Forced,7.6,800.0,_sample_conditions_1,9.526,0.9372983326683118,True,Topology (1:1)
50285,Galectin-3C in complex w/ ligand O,Default/Forced,6.95,500.0,_sample_conditions_1,7.395,0.8758821497283058,True,Topology (1:1)
50285,Galectin-3C in complex w/ ligand O,Default/Forced,6.95,600.0,_sample_conditions_1,6.911,0.8948573409291036,True,Topology (1:1)
50285,Galectin-3C in complex w/ ligand O,Default/Forced,6.95,800.0,_sample_conditions_1,6.969,0.8617986571287464,True,Topology (1:1)
6474,Kinase Interacting FHA (KI-FHA) domain from KAPP (pT868 bund),Default/Forced,10.7,500.0,_condition_one,10.365,0.7799253216574864,True,Topology (1:1)
6474,Kinase Interacting FHA (KI-FHA) domain from KAPP (pT868 bund),Default/Forced,10.7,600.0,_condition_one,11.359,0.9024679944905653,True,Topology (1:1)
17012,Apo-L75F_TrpR,Default/Forced,10.45,600.0,_sample_conditions_1,10.265,0.982523588165716,True,Topology (1:1)
17013,Apo-A77V-TrpR,Default/Forced,10.15,600.0,_sample_conditions_1,10.053,0.9366815197863486,True,Topology (1:1)
4267,"HNGAL, Human Neutrophil Gelatinase-Associated Lipocalin, 179 resdiues, 20660 Da",Default/Forced,13.3,750.0,_sample_conditions_all,12.99,0.9560482195663056,True,Topology (1:1)
4267,"HNGAL, Human Neutrophil Gelatinase-Associated Lipocalin, 179 resdiues, 20660 Da",Default/Forced,13.3,600.0,_sample_conditions_all,13.104,0.9648948746659698,True,Topology (1:1)
4267,"HNGAL, Human Neutrophil Gelatinase-Associated Lipocalin, 179 resdiues, 20660 Da",Default/Forced,13.3,500.0,_sample_conditions_all,13.249,0.8671486622000321,True,Topology (1:1)
5550,Neuropeptide Y,isotropic,8.96,500.0,_Condition_1,10.574,0.8768542262980666,True,Topology (1:1)
50284,Galectin-3C in complex w/ ligand P,Default/Forced,6.97,500.0,_sample_conditions_1,7.406,0.8671629387994082,True,Topology (1:1)
